run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,floor1_town_uses_cumulative,last_battle_enemy_count,notes
1,12345,1,Normal,26,3,3,3,0,27,27,0,0,60,0,1,1,0,7,1,15,3,3,0,0,84,0,14,0,1,1,4,1,floor1_town
1,12345,2,Normal,29,3,3,3,0,27,15,0,2,60,0,1,2,3,3,3,13,0,0,0,0,84,19,20,0,1,1,4,1,+1 levelup
1,12345,3,Normal,28,1,1,1,0,15,34,2,2,0,0,2,2,2,0,0,13,0,0,0,0,22,-19,5,0,1,1,4,1,
1,12345,4,Normal,37,4,4,4,0,34,12,2,2,60,0,2,2,13,0,0,0,0,0,0,0,194,22,29,0,1,1,4,2,
1,12345,5,Normal,2,1,1,0,0,12,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,17,12,2,1,0,0,4,2,party wiped
2,12346,1,Normal,34,3,3,3,0,27,27,0,0,60,0,1,1,3,9,6,15,3,3,0,0,84,0,28,0,1,1,4,1,floor1_town
2,12346,2,Normal,29,3,3,3,0,27,35,0,1,60,0,1,2,5,3,3,10,0,0,0,0,84,0,19,0,1,1,4,1,+1 levelup
2,12346,3,Normal,36,4,4,4,0,35,35,1,1,60,0,2,2,7,0,0,5,0,0,0,0,150,0,20,0,1,1,4,1,
2,12346,4,Normal,16,3,3,2,0,35,0,1,1,40,0,2,2,5,0,0,2,0,0,0,0,78,35,14,1,0,0,4,1,party wiped
3,12347,1,Normal,26,4,4,4,0,27,27,0,0,80,0,1,1,3,11,1,15,3,3,0,0,112,0,22,0,1,1,5,1,floor1_town
3,12347,2,Normal,37,4,4,4,0,27,36,0,3,80,0,1,2,3,3,3,12,0,0,0,0,112,0,17,0,1,1,5,1,+1 levelup
3,12347,3,Normal,1,1,1,0,0,36,0,3,3,0,0,2,2,0,0,0,14,0,0,0,0,18,36,2,1,0,0,5,2,party wiped
4,12348,1,Normal,35,3,3,3,0,27,27,0,0,60,0,1,1,2,6,1,15,3,3,0,0,84,0,20,0,1,1,4,1,floor1_town
4,12348,2,Normal,31,2,2,2,0,27,35,0,2,40,0,1,2,2,3,3,13,0,0,0,0,56,12,16,0,1,1,4,1,+1 levelup
4,12348,3,Normal,17,2,2,1,0,35,0,2,2,20,0,2,2,3,0,0,12,0,0,0,0,63,35,8,1,0,0,4,2,party wiped
5,12349,1,Normal,27,2,2,2,0,27,27,0,0,40,0,1,1,4,3,0,15,3,3,0,0,56,0,12,0,1,1,3,1,floor1_town
5,12349,2,Normal,30,4,4,4,0,27,16,0,3,80,0,1,2,4,3,3,11,0,0,0,0,112,18,19,0,1,1,3,1,+1 levelup
5,12349,3,Normal,27,1,1,0,0,16,0,3,3,0,0,2,2,0,0,0,12,0,0,0,0,17,16,1,1,0,0,3,2,party wiped
6,12350,1,Normal,35,4,4,4,0,27,27,0,0,80,0,1,1,7,8,3,15,3,3,0,0,112,0,24,0,1,1,5,1,floor1_town
6,12350,2,Normal,31,2,2,2,0,27,34,0,3,40,0,1,2,2,3,3,15,0,0,0,0,56,0,11,0,1,1,5,1,+1 levelup
6,12350,3,Normal,34,3,3,3,0,34,34,3,3,60,0,2,2,5,0,0,12,0,0,0,0,106,0,14,0,1,1,5,2,
6,12350,4,Normal,37,3,3,3,0,34,27,3,3,0,0,2,2,7,0,0,7,0,0,0,0,132,7,23,0,1,1,5,2,
6,12350,5,Normal,2,1,1,0,0,27,0,3,3,0,0,2,2,2,0,0,6,0,0,0,0,22,27,4,1,0,0,5,2,party wiped
7,12351,1,Normal,28,3,3,3,0,27,27,0,0,60,0,1,1,3,6,0,15,3,3,0,0,84,0,13,0,1,1,4,1,floor1_town
7,12351,2,Normal,25,2,2,2,0,27,34,0,2,40,0,1,2,2,3,3,14,0,0,0,0,56,0,13,0,1,1,4,1,+1 levelup
7,12351,3,Normal,31,4,4,3,0,34,0,2,2,20,0,2,2,3,0,0,11,0,0,0,0,148,34,15,1,0,0,4,2,party wiped
8,12352,1,Normal,36,3,3,3,0,27,27,0,0,60,0,1,1,3,5,1,15,3,3,0,0,84,0,16,0,1,1,4,1,floor1_town
8,12352,2,Normal,32,3,3,3,0,27,35,0,2,60,0,1,2,3,3,3,12,0,0,0,0,84,0,18,0,1,1,4,1,+1 levelup
8,12352,3,Normal,22,5,5,4,0,35,0,2,2,20,0,2,2,6,0,0,8,0,0,0,0,158,35,16,1,0,0,4,2,party wiped
9,12353,1,Normal,28,2,2,2,0,27,27,0,0,40,0,1,1,2,5,0,15,3,3,0,0,56,0,11,0,1,1,3,1,floor1_town
9,12353,2,Normal,28,3,3,3,0,27,35,0,2,60,0,1,2,3,3,3,12,0,0,0,0,84,12,14,0,1,1,3,1,+1 levelup
9,12353,3,Normal,25,3,3,3,0,35,17,2,2,80,0,2,2,11,0,0,1,0,0,0,0,134,18,27,0,1,1,3,1,
9,12353,4,Normal,5,1,1,0,0,17,0,2,2,0,0,2,2,0,0,0,1,0,0,0,0,19,17,1,1,0,0,3,1,party wiped
10,12354,1,Normal,37,2,2,2,0,27,27,0,0,40,0,1,1,1,6,3,15,3,3,0,0,56,0,15,0,1,1,3,1,floor1_town
10,12354,2,Normal,35,2,2,2,0,27,27,0,0,40,0,1,1,1,3,2,14,0,1,0,0,56,0,9,0,1,1,3,1,
10,12354,3,Normal,39,3,3,3,0,27,19,0,0,0,0,1,1,3,0,1,13,0,0,0,0,66,8,15,0,1,1,3,1,
10,12354,4,Normal,10,1,1,0,0,19,0,0,0,0,0,1,1,1,0,0,13,0,0,0,0,14,19,4,1,0,0,3,1,party wiped
11,12355,1,Normal,29,3,3,3,0,27,27,0,0,60,0,1,1,6,9,0,15,3,3,0,0,84,0,19,0,1,1,4,1,floor1_town
11,12355,2,Normal,12,2,2,1,0,27,0,0,0,20,0,1,1,4,3,3,11,0,0,0,0,46,27,18,1,0,0,4,1,party wiped
12,12356,1,Normal,38,4,4,4,0,27,27,0,0,80,0,1,1,4,8,1,15,3,3,0,0,112,0,19,0,1,1,5,1,floor1_town
12,12356,2,Normal,31,4,4,4,0,27,35,0,2,80,0,1,2,0,3,2,17,0,1,0,0,112,0,13,0,1,1,5,1,+1 levelup
12,12356,3,Normal,32,1,1,1,0,35,35,2,2,40,0,2,2,1,0,1,16,0,0,0,0,56,0,5,0,1,1,5,2,
12,12356,4,Normal,39,5,5,5,0,35,17,2,2,60,0,2,2,5,0,0,13,0,0,0,0,150,18,22,0,1,1,5,1,
12,12356,5,Normal,33,5,5,5,0,17,25,2,4,140,0,2,3,11,0,0,4,0,0,0,0,240,21,31,0,1,1,5,2,+1 levelup
12,12356,6,Normal,33,2,2,2,0,25,34,4,4,20,0,3,3,1,0,0,3,0,0,0,0,72,-9,5,0,1,1,5,1,
12,12356,7,Normal,25,3,3,3,0,34,20,4,4,60,0,3,3,2,0,0,1,0,0,0,0,106,14,9,0,1,1,5,1,
12,12356,8,Normal,2,1,1,0,0,20,0,4,4,0,0,3,3,1,0,0,0,0,0,0,0,37,20,4,1,0,0,5,2,party wiped
13,12357,1,Normal,30,3,3,3,0,27,27,0,0,60,0,1,1,2,7,0,15,3,3,0,0,84,0,17,0,1,1,4,1,floor1_town
13,12357,2,Normal,37,2,2,2,0,27,35,0,2,40,0,1,2,1,3,2,16,0,1,0,0,56,0,12,0,1,1,4,1,+1 levelup
13,12357,3,Normal,32,2,2,2,0,35,35,2,2,60,0,2,2,7,0,1,9,0,0,0,0,84,0,18,0,1,1,4,1,
13,12357,4,Normal,37,3,3,3,0,35,35,2,2,60,0,2,2,6,0,0,4,0,0,0,0,128,0,16,0,1,1,4,2,
13,12357,5,Normal,38,4,4,4,0,35,35,2,2,0,0,2,2,2,0,0,3,0,0,0,0,88,0,11,0,1,1,4,1,
13,12357,6,Normal,33,3,3,3,0,35,28,2,2,0,0,2,2,3,0,0,0,0,0,0,0,88,7,15,0,1,1,4,1,
13,12357,7,Normal,24,3,3,0,2,28,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,28,2,1,0,0,4,2,party wiped; flee×2
14,12358,1,Normal,38,1,1,1,0,27,27,0,0,20,0,1,1,3,1,0,15,3,3,0,0,28,0,6,0,1,1,2,1,floor1_town
14,12358,2,Normal,38,2,2,2,0,27,27,0,0,40,0,1,1,3,3,0,13,0,3,0,0,56,0,10,0,1,1,2,1,
14,12358,3,Normal,36,2,2,2,0,27,18,0,0,20,0,1,1,0,0,3,13,0,0,0,0,50,9,9,0,1,1,2,1,
14,12358,4,Normal,32,3,3,3,0,18,24,0,2,60,0,1,2,7,0,0,6,0,0,0,0,128,2,18,0,1,1,2,1,+1 levelup
14,12358,5,Normal,24,4,4,3,0,24,0,2,2,40,0,2,2,8,0,0,0,0,0,0,0,124,24,24,1,0,0,2,2,party wiped
15,12359,1,Normal,31,3,3,3,0,27,27,0,0,60,0,1,1,3,9,4,15,3,3,0,0,84,0,19,0,1,1,4,1,floor1_town
15,12359,2,Normal,29,2,2,2,0,27,35,0,2,40,0,1,2,0,3,1,17,0,2,0,0,56,0,7,0,1,1,4,1,+1 levelup
15,12359,3,Normal,25,3,3,3,0,35,24,2,2,20,0,2,2,1,0,2,16,0,0,0,0,72,11,10,0,1,1,4,1,
15,12359,4,Normal,27,5,5,5,0,24,14,2,2,100,0,2,2,12,0,0,6,0,0,0,0,184,10,36,0,1,1,4,2,
15,12359,5,Normal,27,2,2,2,0,14,24,2,2,0,0,2,2,2,0,0,6,0,0,0,0,44,-10,7,0,1,1,4,1,
15,12359,6,Normal,40,4,4,4,0,24,23,2,2,20,0,2,2,5,0,0,1,0,0,0,0,138,1,21,0,1,1,4,1,
15,12359,7,Normal,17,2,2,1,0,23,0,2,2,0,0,2,2,1,0,0,0,0,0,0,0,55,23,5,1,0,0,4,2,party wiped
16,12360,1,Normal,39,3,3,3,0,27,27,0,0,60,0,1,1,4,7,0,15,3,3,0,0,84,0,17,0,1,1,4,1,floor1_town
16,12360,2,Normal,30,3,3,3,0,27,34,0,2,60,0,1,2,1,3,3,14,0,0,0,0,84,0,11,0,1,1,4,1,+1 levelup
16,12360,3,Normal,17,2,2,1,0,34,0,2,2,0,0,2,2,4,0,0,11,0,0,0,0,66,34,15,1,0,0,4,2,party wiped
17,12361,1,Normal,31,5,5,5,0,27,35,0,2,100,0,1,2,4,12,3,15,3,3,0,0,140,0,26,0,1,1,6,1,floor1_town; +1 levelup
17,12361,2,Normal,24,3,3,2,0,35,0,2,2,40,0,2,2,1,3,3,16,0,0,0,0,80,35,14,1,0,0,6,1,party wiped
18,12362,1,Normal,40,4,4,4,0,27,27,0,0,80,0,1,1,4,6,0,15,3,3,0,0,112,0,16,0,1,1,5,1,floor1_town
18,12362,2,Normal,33,6,6,6,0,27,23,0,3,120,0,1,2,7,3,3,9,0,0,0,0,168,12,30,0,1,1,5,1,+1 levelup
18,12362,3,Normal,40,4,4,4,0,23,17,3,3,20,0,2,2,4,0,0,5,0,0,0,0,138,6,16,0,1,1,5,1,
18,12362,4,Normal,36,3,3,3,0,17,16,3,3,20,0,2,2,6,0,0,1,0,0,0,0,94,1,19,0,1,1,5,1,
18,12362,5,Normal,20,4,4,3,0,16,0,3,5,60,0,2,3,3,0,0,0,0,0,0,0,131,55,16,1,0,0,5,2,party wiped; +1 levelup
19,12363,1,Normal,32,1,1,1,0,27,27,0,0,20,0,1,1,1,3,2,15,3,3,0,0,28,0,8,0,1,1,2,1,floor1_town
19,12363,2,Normal,37,3,3,3,0,27,27,0,0,60,0,1,1,5,3,3,12,0,0,0,0,84,0,18,0,1,1,2,1,
19,12363,3,Normal,36,4,4,4,0,27,24,0,2,80,0,1,2,8,0,0,4,0,0,0,0,156,23,21,0,1,1,2,2,+1 levelup
19,12363,4,Normal,31,6,6,3,2,24,0,2,2,20,0,2,2,4,0,0,0,0,0,0,0,128,24,17,1,0,0,2,1,party wiped; flee×2
20,12364,1,Normal,40,6,6,6,0,27,35,0,2,120,0,1,2,4,13,2,15,3,3,0,0,168,0,30,0,1,1,7,1,floor1_town; +1 levelup
20,12364,2,Normal,28,4,4,4,0,35,35,2,2,80,0,2,2,0,3,2,17,0,1,0,0,112,0,10,0,1,1,7,1,
20,12364,3,Normal,36,5,5,5,0,35,35,2,2,40,0,2,2,14,0,1,3,0,0,0,0,188,0,40,0,1,1,7,2,
20,12364,4,Normal,40,2,2,2,0,35,24,2,2,20,0,2,2,1,0,0,3,0,0,0,0,50,11,6,0,1,1,7,1,
20,12364,5,Normal,40,4,4,4,0,24,28,2,2,20,0,2,2,2,0,0,2,0,0,0,0,116,-4,14,0,1,1,7,1,
20,12364,6,Normal,28,2,2,2,0,28,28,2,2,0,0,2,2,2,0,0,0,0,0,0,0,88,0,9,0,1,1,7,2,
20,12364,7,Normal,20,4,4,1,2,28,0,2,4,20,0,2,3,0,0,0,0,0,0,0,0,28,43,6,1,0,0,7,1,party wiped; +1 levelup; flee×2
21,12365,1,Normal,33,4,4,4,0,27,27,0,0,80,0,1,1,4,10,6,15,3,3,0,0,112,0,30,0,1,1,5,1,floor1_town
21,12365,2,Normal,40,4,4,4,0,27,35,0,2,80,0,1,2,0,3,0,15,0,3,0,0,112,0,10,0,1,1,5,1,+1 levelup
21,12365,3,Normal,33,5,5,5,0,35,35,2,2,60,0,2,2,5,0,3,11,0,0,0,0,194,0,29,0,1,1,5,1,
21,12365,4,Normal,29,2,2,2,0,35,35,2,2,60,0,2,2,3,0,0,10,0,0,0,0,84,0,11,0,1,1,5,2,
21,12365,5,Normal,28,4,4,4,0,35,24,2,4,60,0,2,3,4,0,0,7,0,0,0,0,150,28,21,0,1,1,5,2,+1 levelup
21,12365,6,Normal,26,5,5,5,0,24,35,4,4,80,0,3,3,7,0,0,0,0,0,0,0,178,-11,29,0,1,1,5,2,
21,12365,7,Normal,25,2,2,2,0,35,2,4,4,40,0,3,3,0,0,0,0,0,0,0,0,56,33,9,0,1,1,5,1,
21,12365,8,Normal,26,4,4,1,2,2,0,4,4,0,0,3,3,0,0,0,0,0,0,0,0,39,2,2,1,0,0,5,2,party wiped; flee×2
22,12366,1,Normal,25,3,3,3,0,27,27,0,0,60,0,1,1,2,9,5,15,3,3,0,0,84,12,22,0,1,1,4,1,floor1_town
22,12366,2,Normal,39,4,4,4,0,27,36,0,2,80,0,1,2,4,3,3,12,0,0,0,0,112,0,20,0,1,1,4,1,+1 levelup
22,12366,3,Normal,33,3,3,3,0,36,24,2,2,60,0,2,2,8,0,0,6,0,0,0,0,128,12,24,0,1,1,4,2,
22,12366,4,Normal,33,3,3,3,0,24,36,2,2,40,0,2,2,4,0,0,3,0,0,0,0,100,-12,12,0,1,1,4,1,
22,12366,5,Normal,40,4,4,4,0,36,36,2,2,20,0,2,2,3,0,0,0,0,0,0,0,116,0,12,0,1,1,4,1,
22,12366,6,Normal,29,2,2,1,1,36,9,2,2,20,0,2,2,0,0,0,0,0,0,0,0,50,27,4,0,1,1,4,2,flee×1
22,12366,7,Normal,17,3,3,0,2,9,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,9,1,1,0,0,4,1,party wiped; flee×2
23,12367,1,Normal,33,2,2,2,0,27,27,0,0,40,0,1,1,0,5,3,15,3,3,0,0,56,0,11,0,1,1,3,1,floor1_town
23,12367,2,Normal,35,2,2,2,0,27,27,0,0,40,0,1,1,2,3,3,15,0,0,0,0,56,0,11,0,1,1,3,1,
23,12367,3,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,3,0,0,12,0,0,0,0,30,27,4,1,0,0,3,2,party wiped
24,12368,1,Normal,26,3,3,3,0,27,27,0,0,60,0,1,1,4,6,1,15,3,3,0,0,84,0,16,0,1,1,4,1,floor1_town
24,12368,2,Normal,40,4,4,4,0,27,34,0,3,80,0,1,2,8,3,3,9,0,0,0,0,112,0,25,0,1,1,4,1,+1 levelup
24,12368,3,Normal,25,2,2,2,0,34,16,3,3,0,0,2,2,1,0,0,9,0,0,0,0,44,18,8,0,1,1,4,1,
24,12368,4,Normal,19,2,2,1,0,16,0,3,3,0,0,2,2,0,0,0,9,0,0,0,0,22,16,2,1,0,0,4,2,party wiped
25,12369,1,Normal,34,4,4,4,0,27,27,0,0,80,0,1,1,5,10,1,15,3,3,0,0,112,0,24,0,1,1,5,1,floor1_town
25,12369,2,Normal,36,2,2,2,0,27,35,0,2,40,0,1,2,1,3,2,15,0,1,0,0,56,0,9,0,1,1,5,1,+1 levelup
25,12369,3,Normal,33,6,6,6,0,35,24,2,2,80,0,2,2,8,0,1,8,0,0,0,0,222,11,35,0,1,1,5,2,
25,12369,4,Normal,7,1,1,0,0,24,0,2,2,0,0,2,2,1,0,0,9,0,0,0,0,12,24,4,1,0,0,5,1,party wiped
26,12370,1,Normal,27,3,3,3,0,27,27,0,0,60,0,1,1,3,8,0,15,3,3,0,0,84,0,15,0,1,1,4,1,floor1_town
26,12370,2,Normal,26,3,3,3,0,27,25,0,2,60,0,1,2,3,3,3,14,0,0,0,0,84,11,17,0,1,1,4,1,+1 levelup
26,12370,3,Normal,31,5,5,4,0,25,0,2,2,80,0,2,2,15,0,0,0,0,0,0,0,212,25,39,1,0,0,4,2,party wiped
