run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,medicinal_herb_use_count,potion_use_count,dawn_chalice_use_count,medicinal_herb_remain_after,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,notes
1,12345,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,1,0,0,14,3,3,0,0,0,27,3,1,0,0,floor1_town; party wiped
2,12346,1,Normal,23,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,15,3,3,0,0,23,27,2,1,0,0,floor1_town; party wiped
3,12347,1,Normal,26,2,2,2,0,27,15,0,0,10,0,1,1,2,0,0,13,3,3,0,0,56,12,9,0,1,1,floor1_town
3,12347,2,Normal,19,3,3,2,0,15,0,0,0,10,0,1,1,6,0,0,10,3,3,0,0,56,15,15,1,0,0,party wiped
4,12348,1,Normal,35,2,2,2,0,27,27,0,0,10,0,1,1,3,0,0,12,3,3,0,0,56,0,9,0,1,1,floor1_town
4,12348,2,Normal,38,3,3,3,0,27,27,0,0,15,0,1,1,9,0,0,6,3,3,0,0,84,0,21,0,1,1,
4,12348,3,Normal,28,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,9,3,3,0,0,9,27,2,1,0,0,party wiped
5,12349,1,Normal,27,1,1,1,0,27,27,0,0,5,0,1,1,2,0,0,13,3,3,0,0,28,0,5,0,1,1,floor1_town
5,12349,2,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,16,3,3,0,0,14,27,2,1,0,0,party wiped
6,12350,1,Normal,9,2,2,1,0,27,0,0,0,5,0,1,1,2,0,0,13,3,3,0,0,51,27,8,1,0,0,floor1_town; party wiped
7,12351,1,Normal,26,2,2,1,0,27,0,0,0,5,0,1,1,3,0,0,12,3,3,0,0,37,27,6,1,0,0,floor1_town; party wiped
8,12352,1,Normal,36,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,13,3,3,0,0,56,0,8,0,1,1,floor1_town
8,12352,2,Normal,32,2,2,2,0,27,27,0,0,10,0,1,1,2,0,0,14,3,3,0,0,56,0,10,0,1,1,
8,12352,3,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,6,0,0,11,3,3,0,0,42,27,16,1,0,0,party wiped
9,12353,1,Normal,28,2,2,2,0,27,27,0,0,10,0,1,1,5,0,0,10,3,3,0,0,56,0,11,0,1,1,floor1_town
9,12353,2,Normal,34,2,2,2,0,27,27,0,0,10,0,1,1,5,0,0,8,3,3,0,0,56,0,13,0,1,1,
9,12353,3,Normal,20,4,4,3,0,27,0,0,0,15,0,1,1,3,0,0,8,3,3,0,0,93,27,16,1,0,0,party wiped
10,12354,1,Normal,18,3,3,2,0,27,0,0,0,10,0,1,1,5,0,0,10,3,3,0,0,79,27,15,1,0,0,floor1_town; party wiped
11,12355,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,2,0,0,13,3,3,0,0,14,27,4,1,0,0,floor1_town; party wiped
