run_id,seed,floor,floor_type,steps_moved,encounters,battles,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,potion_use_count,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,notes
1,12345,1,Normal,26,3,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,
1,12345,2,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,3,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,4,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,5,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,6,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,7,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,8,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,9,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
1,12345,10,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,1,Normal,34,2,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,
2,12346,2,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,3,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,4,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,5,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,6,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,7,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,8,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,9,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
2,12346,10,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,1,Normal,26,5,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,
3,12347,2,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,3,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,4,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,5,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,6,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,7,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,8,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,9,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
3,12347,10,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,1,Normal,35,1,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,
4,12348,2,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,3,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,4,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,5,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,6,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,7,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,8,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,9,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
4,12348,10,NoPool,0,0,0,26,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,no monster pool entry for this floor
