run_id,seed,floor,floor_type,steps_moved,encounters,battles,battles_won,battles_fled,hp_before,hp_after,mp_before,mp_after,xp_gained,gold_gained,level_before,level_after,potion_use_count,dawn_chalice_use_count,potion_remain_after,chalice_remain_after,skill_use_count,recovery_skill_use_count,total_damage_dealt,total_damage_taken,total_battle_turns,death_flag,clear_flag,next_floor_flag,notes
1,12345,1,Normal,15,2,2,1,0,27,0,0,0,5,0,1,1,3,0,2,3,0,0,37,27,8,1,0,0,party wiped
2,12346,1,Normal,23,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,23,27,2,1,0,0,party wiped
3,12347,1,Normal,26,2,2,2,0,27,15,0,0,10,0,1,1,2,0,3,3,0,0,56,12,9,0,1,1,
3,12347,2,Normal,27,3,3,2,0,15,0,0,0,10,0,1,1,3,1,0,2,0,0,79,15,12,1,0,0,party wiped
4,12348,1,Normal,35,2,2,2,0,27,15,0,0,10,0,1,1,2,0,3,3,0,0,56,12,7,0,1,1,
4,12348,2,Normal,30,1,1,1,0,15,27,0,0,5,0,1,1,3,0,0,3,0,0,28,-12,6,0,1,1,
4,12348,3,Normal,15,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,0,0,18,27,2,1,0,0,party wiped
5,12349,1,Normal,26,2,2,1,0,27,0,0,0,5,0,1,1,2,0,3,3,0,0,42,27,8,1,0,0,party wiped
6,12350,1,Normal,4,1,1,0,0,27,0,0,0,0,0,1,1,4,0,1,3,0,0,27,27,8,1,0,0,party wiped
7,12351,1,Normal,9,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,37,27,4,1,0,0,party wiped
8,12352,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,2,0,3,3,0,0,14,27,5,1,0,0,party wiped
9,12353,1,Normal,20,2,2,1,0,27,0,0,0,5,0,1,1,2,0,3,3,0,0,37,27,8,1,0,0,party wiped
10,12354,1,Normal,37,2,2,2,0,27,19,0,0,10,0,1,1,5,1,0,2,0,0,56,8,13,0,1,1,
10,12354,2,Normal,12,2,2,1,0,19,0,0,0,5,0,1,1,0,1,0,1,0,0,51,19,5,1,0,0,party wiped
11,12355,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,1,0,4,3,0,0,14,27,4,1,0,0,party wiped
12,12356,1,Normal,13,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,46,27,6,1,0,0,party wiped
13,12357,1,Normal,26,4,4,3,0,27,0,0,0,15,0,1,1,5,3,0,0,0,0,102,27,19,1,0,0,party wiped
14,12358,1,Normal,38,0,0,0,0,27,27,0,0,0,0,1,1,0,0,5,3,0,0,0,0,0,0,1,1,
14,12358,2,Normal,11,2,2,1,0,27,0,0,0,5,0,1,1,5,0,0,3,0,0,46,27,10,1,0,0,party wiped
15,12359,1,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,5,2,0,1,0,0,46,27,16,1,0,0,party wiped
16,12360,1,Normal,39,3,3,3,0,27,27,0,0,15,0,1,1,3,0,2,3,0,0,84,0,11,0,1,1,
16,12360,2,Normal,29,0,0,0,0,27,27,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,1,1,
16,12360,3,Normal,23,3,3,2,0,27,0,0,0,10,0,1,1,2,3,0,0,0,0,70,27,13,1,0,0,party wiped
17,12361,1,Normal,31,3,3,3,0,27,15,0,0,15,0,1,1,5,0,0,3,0,0,84,12,16,0,1,1,
17,12361,2,Normal,4,1,1,0,0,15,0,0,0,0,0,1,1,0,2,0,1,0,0,18,15,4,1,0,0,party wiped
18,12362,1,Normal,14,3,3,2,0,27,0,0,0,10,0,1,1,1,0,4,3,0,0,76,27,8,1,0,0,party wiped
19,12363,1,Normal,32,3,3,3,0,27,24,0,0,15,0,1,1,5,3,0,0,0,0,84,3,16,0,1,1,
19,12363,2,Normal,21,4,4,1,2,24,0,0,0,5,0,1,1,0,0,0,0,0,0,28,24,6,1,0,0,party wiped; flee×2
20,12364,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,18,27,3,1,0,0,party wiped
21,12365,1,Normal,33,4,4,4,0,27,27,0,0,20,0,1,1,4,0,1,3,0,0,112,0,16,0,1,1,
21,12365,2,Normal,14,2,2,1,0,27,0,0,0,5,0,1,1,1,0,0,3,0,0,46,27,9,1,0,0,party wiped
22,12366,1,Normal,16,1,1,0,0,27,0,0,0,0,0,1,1,4,0,1,3,0,0,18,27,11,1,0,0,party wiped
23,12367,1,Normal,27,3,3,2,0,27,0,0,0,10,0,1,1,5,0,0,3,0,0,70,27,18,1,0,0,party wiped
24,12368,1,Normal,26,3,3,3,0,27,15,0,0,15,0,1,1,4,0,1,3,0,0,84,12,12,0,1,1,
24,12368,2,Normal,4,1,1,0,0,15,0,0,0,0,0,1,1,0,0,1,3,0,0,0,15,2,1,0,0,party wiped
25,12369,1,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,2,0,3,3,0,0,46,27,8,1,0,0,party wiped
26,12370,1,Normal,14,2,2,1,0,27,0,0,0,5,0,1,1,2,0,3,3,0,0,51,27,8,1,0,0,party wiped
27,12371,1,Normal,18,3,3,2,0,27,0,0,0,10,0,1,1,3,0,2,3,0,0,65,27,10,1,0,0,party wiped
28,12372,1,Normal,26,2,2,1,0,27,0,0,0,5,0,1,1,5,3,0,0,0,0,51,27,16,1,0,0,party wiped
29,12373,1,Normal,28,2,2,1,0,27,0,0,0,5,0,1,1,5,0,0,3,0,0,55,27,13,1,0,0,party wiped
30,12374,1,Normal,6,2,2,1,0,27,0,0,0,5,0,1,1,5,2,0,1,0,0,46,27,15,1,0,0,party wiped
31,12375,1,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,18,27,3,1,0,0,party wiped
32,12376,1,Normal,3,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,14,27,2,1,0,0,party wiped
33,12377,1,Normal,26,3,3,2,0,27,0,0,0,10,0,1,1,3,0,2,3,0,0,65,27,12,1,0,0,party wiped
34,12378,1,Normal,27,3,3,2,0,27,0,0,0,10,0,1,1,5,3,0,0,0,0,83,27,18,1,0,0,party wiped
35,12379,1,Normal,16,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,55,27,10,1,0,0,party wiped
36,12380,1,Normal,10,1,1,0,0,27,0,0,0,0,0,1,1,1,0,4,3,0,0,18,27,3,1,0,0,party wiped
37,12381,1,Normal,38,6,6,4,2,27,3,0,0,20,0,1,1,5,3,0,0,0,0,112,24,23,0,1,1,flee×2
37,12381,2,Normal,25,2,2,0,2,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,flee×2
37,12381,3,Normal,36,3,3,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,0,party wiped; flee×2
38,12382,1,Normal,9,1,1,0,0,27,0,0,0,0,0,1,1,1,0,4,3,0,0,18,27,3,1,0,0,party wiped
39,12383,1,Normal,21,3,3,2,0,27,0,0,0,10,0,1,1,5,0,0,3,0,0,56,27,17,1,0,0,party wiped
40,12384,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,18,27,3,1,0,0,party wiped
41,12385,1,Normal,31,4,4,3,0,27,0,0,0,15,0,1,1,3,0,2,3,0,0,95,27,13,1,0,0,party wiped
42,12386,1,Normal,1,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,18,27,2,1,0,0,party wiped
43,12387,1,Normal,20,2,2,1,0,27,0,0,0,5,0,1,1,3,0,2,3,0,0,42,27,10,1,0,0,party wiped
44,12388,1,Normal,33,2,2,2,0,27,27,0,0,10,0,1,1,3,0,2,3,0,0,56,0,8,0,1,1,
44,12388,2,Normal,4,1,1,0,0,27,0,0,0,0,0,1,1,0,0,2,3,0,0,23,27,2,1,0,0,party wiped
45,12389,1,Normal,25,1,1,1,0,27,27,0,0,5,0,1,1,1,0,4,3,0,0,28,0,4,0,1,1,
45,12389,2,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,0,0,4,3,0,0,18,27,3,1,0,0,party wiped
46,12390,1,Normal,14,2,2,1,0,27,0,0,0,5,0,1,1,2,0,3,3,0,0,37,27,8,1,0,0,party wiped
47,12391,1,Normal,5,1,1,0,0,27,0,0,0,0,0,1,1,0,0,5,3,0,0,9,27,2,1,0,0,party wiped
48,12392,1,Normal,16,2,2,1,0,27,0,0,0,5,0,1,1,5,2,0,1,0,0,51,27,12,1,0,0,party wiped
49,12393,1,Normal,27,1,1,1,0,27,27,0,0,5,0,1,1,3,0,2,3,0,0,28,0,8,0,1,1,
49,12393,2,Normal,23,2,2,1,0,27,0,0,0,5,0,1,1,1,0,1,3,0,0,28,27,6,1,0,0,party wiped
50,12394,1,Normal,35,2,2,2,0,27,15,0,0,10,0,1,1,4,0,1,3,0,0,56,12,10,0,1,1,
50,12394,2,Normal,11,2,2,1,0,15,0,0,0,5,0,1,1,1,3,0,0,0,0,37,15,9,1,0,0,party wiped
51,12395,1,Normal,10,1,1,0,0,27,0,0,0,0,0,1,1,3,0,2,3,0,0,27,27,10,1,0,0,party wiped
52,12396,1,Normal,12,2,2,1,0,27,0,0,0,5,0,1,1,3,0,2,3,0,0,55,27,10,1,0,0,party wiped
53,12397,1,Normal,8,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,42,27,6,1,0,0,party wiped
54,12398,1,Normal,25,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,28,27,5,1,0,0,party wiped
55,12399,1,Normal,21,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,46,27,6,1,0,0,party wiped
56,12400,1,Normal,8,1,1,0,0,27,0,0,0,0,0,1,1,1,0,4,3,0,0,0,27,4,1,0,0,party wiped
57,12401,1,Normal,17,3,3,2,0,27,0,0,0,10,0,1,1,2,0,3,3,0,0,81,27,13,1,0,0,party wiped
58,12402,1,Normal,14,1,1,0,0,27,0,0,0,0,0,1,1,2,0,3,3,0,0,9,27,4,1,0,0,party wiped
59,12403,1,Normal,13,2,2,1,0,27,0,0,0,5,0,1,1,3,0,2,3,0,0,37,27,7,1,0,0,party wiped
60,12404,1,Normal,12,3,3,2,0,27,0,0,0,10,0,1,1,3,0,2,3,0,0,74,27,9,1,0,0,party wiped
61,12405,1,Normal,18,2,2,1,0,27,0,0,0,5,0,1,1,0,0,5,3,0,0,35,27,6,1,0,0,party wiped
62,12406,1,Normal,12,2,2,1,0,27,0,0,0,5,0,1,1,0,0,5,3,0,0,28,27,4,1,0,0,party wiped
63,12407,1,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,2,0,3,3,0,0,27,27,5,1,0,0,party wiped
64,12408,1,Normal,28,3,3,2,0,27,0,0,0,10,0,1,1,4,0,1,3,0,0,56,27,13,1,0,0,party wiped
65,12409,1,Normal,33,3,3,3,0,27,27,0,0,15,0,1,1,5,0,0,3,0,0,84,0,15,0,1,1,
65,12409,2,Normal,2,1,1,0,0,27,0,0,0,0,0,1,1,0,0,0,3,0,0,16,27,3,1,0,0,party wiped
66,12410,1,Normal,10,2,2,1,0,27,0,0,0,5,0,1,1,0,0,5,3,0,0,46,27,5,1,0,0,party wiped
67,12411,1,Normal,29,2,2,1,0,27,0,0,0,5,0,1,1,1,0,4,3,0,0,37,27,7,1,0,0,party wiped
